ruta,archivo,categoria,bytes,md5,fecha_ingreso
01_Datos/Gobernacion_Antioquia/POTA/Tablas_municipales_octubre/GRUPO_3/05237_conflictos_donmatias.xlsx,05237_conflictos_donmatias.xlsx,A,305311,c0652e55e76c1a9b55025589f2bde2b7,2026-09-16
01_Datos/Gobernacion_Antioquia/POTA/Tablas_municipales_octubre/GRUPO_3/05579_conflictos_puerto_berrio.xlsx,05579_conflictos_puerto_berrio.xlsx,A,333282,725ff3974a490fa7e1e034870b23d3f1,2026-09-16
01_Datos/Gobernacion_Antioquia/POTA/Tablas_municipales_octubre/GRUPO_3/05658_conflictos_sanjose_montana.xlsx,05658_conflictos_sanjose_montana.xlsx,A,71596,ac34b02662e9fc6ed6a1a6b037804a25,2026-09-16
01_Datos/Gobernacion_Antioquia/POTA/Tablas_municipales_octubre/GRUPO_3/05686_conflictos_santarosa_osos.xlsx,05686_conflictos_santarosa_osos.xlsx,A,855346,800021b62ccbce7d60fc7e626ce7b24c,2026-09-16
01_Datos/Gobernacion_Antioquia/POTA/Tablas_municipales_octubre/GRUPO_3/05861_conflictos_venecia.xlsx,05861_conflictos_venecia.xlsx,A,322846,4d9206448e4c4b5442708752caed57b6,2026-09-16
01_Datos/Gobernacion_Antioquia/POTA/Tablas_municipales_octubre/GRUPO_4/05030_conflictos_amaga.xlsx,05030_conflictos_amaga.xlsx,A,515294,35dbe13c5abf5c87f7b2308f6e7f2da5,2026-09-16
01_Datos/Gobernacion_Antioquia/POTA/Tablas_municipales_octubre/GRUPO_4/05091_conflictos_betania.xlsx,05091_conflictos_betania.xlsx,A,212875,a0ca026ae7a6e2e10e5b23b846030e52,2026-09-16
01_Datos/Gobernacion_Antioquia/POTA/Tablas_municipales_octubre/GRUPO_4/05206_conflictos_concepcion.xlsx,05206_conflictos_concepcion.xlsx,A,272469,e7811cd024fe9e9c0065168ee9e23516,2026-09-16
01_Datos/Gobernacion_Antioquia/POTA/Tablas_municipales_octubre/GRUPO_4/05209_conflictos_concordia.xlsx,05209_conflictos_concordia.xlsx,A,277469,db0c6b932c5f3c0153385c60e95bf249,2026-09-16
01_Datos/Gobernacion_Antioquia/POTA/Tablas_municipales_octubre/GRUPO_4/05240_conflictos_ebejico.xlsx,05240_conflictos_ebejico.xlsx,A,385713,658ed28cb91ffcd198fe564fe52b9828,2026-09-16
01_Datos/Gobernacion_Antioquia/POTA/Tablas_municipales_octubre/GRUPO_4/05376_conflictos_laceja.xlsx,05376_conflictos_laceja.xlsx,A,840194,8e0e64d3bcdb0210f2527252a85771ef,2026-09-16
01_Datos/Gobernacion_Antioquia/POTA/Tablas_municipales_octubre/GRUPO_4/05649_conflictos_sancarlos.xlsx,05649_conflictos_sancarlos.xlsx,A,656332,143c93a3cf1f907f18a53676af2533b6,2026-09-16
01_Datos/Gobernacion_Antioquia/POTA/Tablas_municipales_octubre/GRUPO_4/05665_conflictos_sanpedro_uraba.xlsx,05665_conflictos_sanpedro_uraba.xlsx,A,428980,811dd3ba2b90c0bdf55ec492ade614fb,2026-09-16
01_Datos/Gobernacion_Antioquia/POTA/Tablas_municipales_octubre/GRUPO_4/05667_conflictos_san_rafael.xlsx,05667_conflictos_san_rafael.xlsx,A,536797,7b32d917756c1cef39500caaef1d4d91,2026-09-16
